Font: m5x7  Style: Medium
Point Size: 648   SP/PD Ratio: 0.8%

Characters included: 71/1649
Missing characters: 1578
Excluded characters: 0

Characters missing from font file:
----------------------------------------
ID: 44425	Hex: AD89	Char [궉]
ID: 44428	Hex: AD8C	Char [권]
ID: 44432	Hex: AD90	Char [궐]
ID: 44444	Hex: AD9C	Char [궜]
ID: 44445	Hex: AD9D	Char [궝]
ID: 44452	Hex: ADA4	Char [궤]
ID: 44471	Hex: ADB7	Char [궷]
ID: 44480	Hex: ADC0	Char [귀]
ID: 44481	Hex: ADC1	Char [귁]
ID: 44484	Hex: ADC4	Char [귄]
ID: 44488	Hex: ADC8	Char [귈]
ID: 44496	Hex: ADD0	Char [귐]
ID: 44497	Hex: ADD1	Char [귑]
ID: 44499	Hex: ADD3	Char [귓]
ID: 44508	Hex: ADDC	Char [규]
ID: 44512	Hex: ADE0	Char [균]
ID: 44516	Hex: ADE4	Char [귤]
ID: 44537	Hex: ADF9	Char [극]
ID: 44540	Hex: ADFC	Char [근]
ID: 44543	Hex: ADFF	Char [귿]
ID: 44544	Hex: AE00	Char [글]
ID: 44545	Hex: AE01	Char [긁]
ID: 44552	Hex: AE08	Char [금]
ID: 44553	Hex: AE09	Char [급]
ID: 44555	Hex: AE0B	Char [긋]
ID: 44557	Hex: AE0D	Char [긍]
ID: 44564	Hex: AE14	Char [긔]
ID: 44592	Hex: AE30	Char [기]
ID: 44593	Hex: AE31	Char [긱]
ID: 44596	Hex: AE34	Char [긴]
ID: 44599	Hex: AE37	Char [긷]
ID: 44600	Hex: AE38	Char [길]
ID: 44602	Hex: AE3A	Char [긺]
ID: 44608	Hex: AE40	Char [김]
ID: 44609	Hex: AE41	Char [깁]
ID: 44611	Hex: AE43	Char [깃]
ID: 44613	Hex: AE45	Char [깅]
ID: 44614	Hex: AE46	Char [깆]
ID: 44618	Hex: AE4A	Char [깊]
ID: 44620	Hex: AE4C	Char [까]
ID: 44621	Hex: AE4D	Char [깍]
ID: 44622	Hex: AE4E	Char [깎]
ID: 44624	Hex: AE50	Char [깐]
ID: 44628	Hex: AE54	Char [깔]
ID: 44630	Hex: AE56	Char [깖]
ID: 44636	Hex: AE5C	Char [깜]
ID: 44637	Hex: AE5D	Char [깝]
ID: 44639	Hex: AE5F	Char [깟]
ID: 44640	Hex: AE60	Char [깠]
ID: 44641	Hex: AE61	Char [깡]
ID: 44645	Hex: AE65	Char [깥]
ID: 44648	Hex: AE68	Char [깨]
ID: 44649	Hex: AE69	Char [깩]
ID: 44652	Hex: AE6C	Char [깬]
ID: 44656	Hex: AE70	Char [깰]
ID: 44664	Hex: AE78	Char [깸]
ID: 44665	Hex: AE79	Char [깹]
ID: 44667	Hex: AE7B	Char [깻]
ID: 44668	Hex: AE7C	Char [깼]
ID: 44669	Hex: AE7D	Char [깽]
ID: 44676	Hex: AE84	Char [꺄]
ID: 44677	Hex: AE85	Char [꺅]
ID: 44684	Hex: AE8C	Char [꺌]
ID: 44732	Hex: AEBC	Char [꺼]
ID: 44733	Hex: AEBD	Char [꺽]
ID: 44734	Hex: AEBE	Char [꺾]
ID: 44736	Hex: AEC0	Char [껀]
ID: 44740	Hex: AEC4	Char [껄]
ID: 44748	Hex: AECC	Char [껌]
ID: 44749	Hex: AECD	Char [껍]
ID: 44751	Hex: AECF	Char [껏]
ID: 44752	Hex: AED0	Char [껐]
ID: 44753	Hex: AED1	Char [껑]
ID: 44760	Hex: AED8	Char [께]
ID: 44761	Hex: AED9	Char [껙]
ID: 44764	Hex: AEDC	Char [껜]
ID: 44776	Hex: AEE8	Char [껨]
ID: 44779	Hex: AEEB	Char [껫]
ID: 44781	Hex: AEED	Char [껭]
ID: 44788	Hex: AEF4	Char [껴]
ID: 44792	Hex: AEF8	Char [껸]
ID: 44796	Hex: AEFC	Char [껼]
ID: 44807	Hex: AF07	Char [꼇]
ID: 44808	Hex: AF08	Char [꼈]
ID: 44813	Hex: AF0D	Char [꼍]
ID: 44816	Hex: AF10	Char [꼐]
ID: 44845	Hex: AF2D	Char [꼭]
ID: 44848	Hex: AF30	Char [꼰]
ID: 44850	Hex: AF32	Char [꼲]
ID: 44852	Hex: AF34	Char [꼴]
ID: 44860	Hex: AF3C	Char [꼼]
ID: 44861	Hex: AF3D	Char [꼽]
ID: 44863	Hex: AF3F	Char [꼿]
ID: 44865	Hex: AF41	Char [꽁]
ID: 44866	Hex: AF42	Char [꽂]
ID: 44867	Hex: AF43	Char [꽃]
ID: 44872	Hex: AF48	Char [꽈]
ID: 44873	Hex: AF49	Char [꽉]
ID: 44880	Hex: AF50	Char [꽐]
ID: 44892	Hex: AF5C	Char [꽜]
ID: 44893	Hex: AF5D	Char [꽝]
ID: 44900	Hex: AF64	Char [꽤]
ID: 44901	Hex: AF65	Char [꽥]
ID: 44921	Hex: AF79	Char [꽹]
ID: 44928	Hex: AF80	Char [꾀]
ID: 44932	Hex: AF84	Char [꾄]
ID: 44936	Hex: AF88	Char [꾈]
ID: 44944	Hex: AF90	Char [꾐]
ID: 44945	Hex: AF91	Char [꾑]
ID: 44949	Hex: AF95	Char [꾕]
ID: 44984	Hex: AFB8	Char [꾸]
ID: 44985	Hex: AFB9	Char [꾹]
ID: 44988	Hex: AFBC	Char [꾼]
ID: 44992	Hex: AFC0	Char [꿀]
ID: 44999	Hex: AFC7	Char [꿇]
ID: 45000	Hex: AFC8	Char [꿈]
ID: 45001	Hex: AFC9	Char [꿉]
ID: 45003	Hex: AFCB	Char [꿋]
ID: 45005	Hex: AFCD	Char [꿍]
ID: 45006	Hex: AFCE	Char [꿎]
ID: 45012	Hex: AFD4	Char [꿔]
ID: 45020	Hex: AFDC	Char [꿜]
ID: 45032	Hex: AFE8	Char [꿨]
ID: 45033	Hex: AFE9	Char [꿩]
ID: 45040	Hex: AFF0	Char [꿰]
ID: 45041	Hex: AFF1	Char [꿱]
ID: 45044	Hex: AFF4	Char [꿴]
ID: 45048	Hex: AFF8	Char [꿸]
ID: 45056	Hex: B000	Char [뀀]
ID: 45057	Hex: B001	Char [뀁]
ID: 45060	Hex: B004	Char [뀄]
ID: 45068	Hex: B00C	Char [뀌]
ID: 45072	Hex: B010	Char [뀐]
ID: 45076	Hex: B014	Char [뀔]
ID: 45084	Hex: B01C	Char [뀜]
ID: 45085	Hex: B01D	Char [뀝]
ID: 45096	Hex: B028	Char [뀨]
ID: 45125	Hex: B045	Char [끅]
ID: 45128	Hex: B048	Char [끈]
ID: 45130	Hex: B04A	Char [끊]
ID: 45132	Hex: B04C	Char [끌]
ID: 45134	Hex: B04E	Char [끎]
ID: 45139	Hex: B053	Char [끓]
ID: 45140	Hex: B054	Char [끔]
ID: 45141	Hex: B055	Char [끕]
ID: 45143	Hex: B057	Char [끗]
ID: 45145	Hex: B059	Char [끙]
ID: 45149	Hex: B05D	Char [끝]
ID: 45180	Hex: B07C	Char [끼]
ID: 45181	Hex: B07D	Char [끽]
ID: 45184	Hex: B080	Char [낀]
ID: 45188	Hex: B084	Char [낄]
ID: 45196	Hex: B08C	Char [낌]
ID: 45197	Hex: B08D	Char [낍]
ID: 45199	Hex: B08F	Char [낏]
ID: 45201	Hex: B091	Char [낑]
ID: 45208	Hex: B098	Char [나]
ID: 45209	Hex: B099	Char [낙]
ID: 45210	Hex: B09A	Char [낚]
ID: 45212	Hex: B09C	Char [난]
ID: 45215	Hex: B09F	Char [낟]
ID: 45216	Hex: B0A0	Char [날]
ID: 45217	Hex: B0A1	Char [낡]
ID: 45218	Hex: B0A2	Char [낢]
ID: 45224	Hex: B0A8	Char [남]
ID: 45225	Hex: B0A9	Char [납]
ID: 45227	Hex: B0AB	Char [낫]
ID: 45228	Hex: B0AC	Char [났]
ID: 45229	Hex: B0AD	Char [낭]
ID: 45230	Hex: B0AE	Char [낮]
ID: 45231	Hex: B0AF	Char [낯]
ID: 45233	Hex: B0B1	Char [낱]
ID: 45235	Hex: B0B3	Char [낳]
ID: 45236	Hex: B0B4	Char [내]
ID: 45237	Hex: B0B5	Char [낵]
ID: 45240	Hex: B0B8	Char [낸]
ID: 45244	Hex: B0BC	Char [낼]
ID: 45252	Hex: B0C4	Char [냄]
ID: 45253	Hex: B0C5	Char [냅]
ID: 45255	Hex: B0C7	Char [냇]
ID: 45256	Hex: B0C8	Char [냈]
ID: 45257	Hex: B0C9	Char [냉]
ID: 45264	Hex: B0D0	Char [냐]
ID: 45265	Hex: B0D1	Char [냑]
ID: 45268	Hex: B0D4	Char [냔]
ID: 45272	Hex: B0D8	Char [냘]
ID: 45280	Hex: B0E0	Char [냠]
ID: 45285	Hex: B0E5	Char [냥]
ID: 45320	Hex: B108	Char [너]
ID: 45321	Hex: B109	Char [넉]
ID: 45323	Hex: B10B	Char [넋]
ID: 45324	Hex: B10C	Char [넌]
ID: 45328	Hex: B110	Char [널]
ID: 45330	Hex: B112	Char [넒]
ID: 45331	Hex: B113	Char [넓]
ID: 45336	Hex: B118	Char [넘]
ID: 45337	Hex: B119	Char [넙]
ID: 45339	Hex: B11B	Char [넛]
ID: 45340	Hex: B11C	Char [넜]
ID: 45341	Hex: B11D	Char [넝]
ID: 45347	Hex: B123	Char [넣]
ID: 45348	Hex: B124	Char [네]
ID: 45349	Hex: B125	Char [넥]
ID: 45352	Hex: B128	Char [넨]
ID: 45356	Hex: B12C	Char [넬]
ID: 45364	Hex: B134	Char [넴]
ID: 45365	Hex: B135	Char [넵]
ID: 45367	Hex: B137	Char [넷]
ID: 45368	Hex: B138	Char [넸]
ID: 45369	Hex: B139	Char [넹]
ID: 45376	Hex: B140	Char [녀]
ID: 45377	Hex: B141	Char [녁]
ID: 45380	Hex: B144	Char [년]
ID: 45384	Hex: B148	Char [녈]
ID: 45392	Hex: B150	Char [념]
ID: 45393	Hex: B151	Char [녑]
ID: 45396	Hex: B154	Char [녔]
ID: 45397	Hex: B155	Char [녕]
ID: 45400	Hex: B158	Char [녘]
ID: 45404	Hex: B15C	Char [녜]
ID: 45408	Hex: B160	Char [녠]
ID: 45433	Hex: B179	Char [녹]
ID: 45436	Hex: B17C	Char [논]
ID: 45440	Hex: B180	Char [놀]
ID: 45442	Hex: B182	Char [놂]
ID: 45448	Hex: B188	Char [놈]
ID: 45449	Hex: B189	Char [놉]
ID: 45451	Hex: B18B	Char [놋]
ID: 45453	Hex: B18D	Char [농]
ID: 45458	Hex: B192	Char [높]
ID: 45459	Hex: B193	Char [놓]
ID: 45460	Hex: B194	Char [놔]
ID: 45464	Hex: B198	Char [놘]
ID: 45468	Hex: B19C	Char [놜]
ID: 45480	Hex: B1A8	Char [놨]
ID: 45516	Hex: B1CC	Char [뇌]
ID: 45520	Hex: B1D0	Char [뇐]
ID: 45524	Hex: B1D4	Char [뇔]
ID: 45532	Hex: B1DC	Char [뇜]
ID: 45533	Hex: B1DD	Char [뇝]
ID: 45535	Hex: B1DF	Char [뇟]
ID: 45545	Hex: B1E9	Char [뇩]
ID: 45548	Hex: B1EC	Char [뇬]
